Name,Tags,Attack / Modifiers,On Use / Effect,Carry,Sheet UI,Implementation,Shop,Buy,Sell,Class Access,Foe Immune,Foe Vulnerable,Review Notes,PDF
Bow,"missile, two-handed",No weapon-type modifier; standard attack roll vs L,Melee phase: one opening missile shot/room; corridors allow rear-rank bow/sling each round,2 weapon slots,Inventory; default missile weapon slot,"Wired: weapon select, combat missiles, class buy rules",Yes,15gp,7gp,Most martial classes; not rogue/wizard/druid/illusionist/acrobat/assassin/bulwark/gnome/kukla/light_gladiator/mushroom_monk/swashbuckler (bow=false),—,—,Named variants: Longbow etc. parse as bow; verify outdoor ranger double-shot rule separately,EE p.81
Arrows (12),"supply, ammo",None (not a weapon profile),Abstract ammo for bow loadout,Supply item (not weapon slot),Inventory list only,Economy/inventory only; no ammo-depletion combat rule,Yes,6gp,3gp,All classes,—,—,PDF may imply quiver limits; app does not track per-shot ammo consumption,EE p.81
Hand weapon,"melee, slashing, hand","Standard; sell aliases (Mace, Sword, etc.) get crushing/slashing from name",Standard melee attack; envenom eligible (slashing),1 weapon slot,Inventory; default melee slot,"Wired: parse, defaults, combat, envenom",Yes,6gp,3gp,Most fighters; not rogue/wizard/druid/illusionist/acrobat/gnome/kukla/mushroom_monk,—,—,Generic row hides crushing vs slashing — named items matter for skeleton bonus,EE p.81
Light hand weapon,"melee, slashing, light, hand",Light weapon: -1 Attack,Melee; envenom eligible; knife-throwing expert skill needs light slashing,1 slot,Inventory; default melee,Wired,Yes,5gp,2gp,Broad; assassin/swashbuckler/light_gladiator use light weapons,—,—,Dagger/Knife sell aliases map here,EE p.81
Two-handed weapon,"melee, slashing, two-handed",+1 Attack (melee); cavern stalactites: explosive 2H hit may trigger fall,Melee; swap weapon costs full turn; envenom if slashing,2 weapon slots,Inventory; default melee,Wired including cavern feature hook,Yes,15gp,7gp,Warrior-type; not rogue/wizard/elf/acrobat/assassin/gnome/kukla/light_gladiator/mushroom_monk/swashbuckler,—,—,Heavy weapon/Staff sell aliases,EE p.82
Shield,"armor, shield",Defense bonus via equipment; counts toward shield carry baseline,Passive defense; may be forfeited (sacrifice shield abilities),1 shield slot (2 shields max party baseline before encumber),Inventory; defense totals,"Wired: defense, carry baseline, class restrictions",Yes,5gp,2gp,Most martial; not rogue/wizard/druid/illusionist/acrobat/assassin/gnome/halfling/kukla/mushroom_monk/swashbuckler,—,—,Verify defense values match class starting gear / PDF armor table,EE p.82
Crossbow,"missile, two-handed",Standard missile attack roll,Missile combat,2 slots,Default missile,Wired; category maps to bow permissions,Yes,15gp,7gp,Same gate as bow,—,—,Confirm class list vs PDF crossbow users,EE p.82
Sling,"missile, light, slashing",Light: -1 Attack,Missile; corridor rear-rank fire,1 slot,Default missile,Wired,Yes,4gp,2gp,Cleric/barbarian/ranger/dwarf/halfling/gnome/illusionist/paladin; not warrior bow-restricted same pattern,—,—,Wizard can buy sling in app — verify PDF,EE p.82
Light armor,"armor, light",Defense bonus (class/profile),Passive worn armor,Encumbers if beyond starting baseline,Inventory; defense line,Wired buy + carry; verify defense math vs PDF,Yes,10gp,5gp,Most classes except druid/illusionist/kukla/mushroom_monk,—,—,Hide armor sell alias,EE p.83
Heavy armor,"armor, heavy, fitted",Defense bonus,Passive; fitted service note in catalog,Encumbrance beyond baseline,Inventory; defense,Wired buy; fitted flag in data only,Yes,30gp,15gp,Warrior/cleric/ranger/dwarf/elf/bulwark/paladin; not rogue/wizard/barbarian/acrobat/etc.,—,—,Confirm barbarian heavy armor PDF rule vs app (barbarian: no heavy),EE p.83
Holy water vial,"consumable, thrown, holy",Attack roll vs foe L; not a weapon modifier,Combat: throw for damage vs undead; destroys vermin/minions at 1 Life,Supply,Combat consumable button,Wired: use_holy_water; barbarian exception for holy water buy,Yes,30gp,15gp,Magic users + barbarian/paladin holy_water flag,Non-undead (no effect),Undead,Holy water vial vs Holy water sell alias,EE p.83
Lantern,"supply, light",None,Utility light (exploration),Supply,Inventory,Inventory/economy only,Yes,4gp,2gp,All,—,—,No dedicated light-mechanic wiring beyond inventory,EE p.83
Torches (12),"supply, light",None,Spend in combat to burn spider webs and allow fleeing; utility light,Supply,Combat: Spend torch (burn webs),Wired: spend_torch + light defense vs Morlocks,Yes,1gp,0gp,All,—,—,Giant spider web flee block,EE p.83
Rope,"supply, utility",None,Climb out of hidden pits; exploration utility,Supply,Climb out pit action,Wired: climb_from_pit consumes rope,Yes,4gp,2gp,All,—,—,Party rope shared across heroes,EE p.84
Bandage,"supply, healing",None,Use bandage action: heal in exploration (per-hero limits),Supply,Recovery actions when carried,Wired: use_bandage,Yes,5gp,2gp,All,—,—,Confirm heal amount vs PDF,EE p.84
Potion of Healing,"magic, consumable, healing",N/A (not attack-based),Free action: restore all lost Life; max 1/adventure/PC; barbarian cannot buy,Supply,Potion use buttons; Recipe secret → 50gp shop,Wired; recipe discount + alchemist event,Yes,100gp,50gp resale (magic potion rule),All except barbarian (magic),—,—,Shop 100gp vs recipe 50gp; alchemist room duplicate,EE p.84
Food ration,"supply, rest",None,"Rest, Secret Diet, halfling meal, druid companion summon cost",Supply,Inventory; referenced in ability hints,Wired for rest/abilities,Yes,1gp,0gp,All,—,—,Fungal merchant mushroom resale separate,EE p.84
Jar of chicken blood,"supply, consumable, reaction",None,Blood Offering reaction alternative to 2 Life; also caverns Adventurer's Dead Body loot,Supply,Offer Jar on blood_offering reactions,Wired: shop buy + dead-body loot + reaction consume,Yes,1gp,0gp,All,—,—,Same price as Food ration; not in EE shop list,EE shop extension / p.160 loot
Lantern hook,"supply, utility",None,Hands-free lantern (utility),Supply,Inventory,Inventory only,Yes,2gp,1gp,All,—,—,Glittering Crystal is wired utility; hook is not,EE p.84
10' pole,"supply, utility",None,Search reroll on 2-4; trap probe in exploration,Supply,Inventory + pole_search_reroll,Wired: pole probe + search reroll,Yes,2gp,1gp,All,—,—,Pole carrier session field,EE p.85
Flask of flammable oil,"consumable, thrown, fire",Attack roll; damage from hit formula,Throw/splash; blocks foe regeneration,Supply,Combat consumable,Wired: use_lantern_oil / splash,Yes,10gp,5gp,All (supply) or per category matrix,Non-regenerating foes (still take damage),Regenerating foes (regen suppressed),Lantern oil sell alias maps to same,EE p.85
Blessing spell scroll,"magic, scroll, consumable",Cast Blessing spell,Burn scroll to cast once,Supply,Scroll burn UI,Wired scroll system,Yes,100gp,100gp (spell/charge rule),Magic-capable classes,—,—,Cleric prayer overlap,EE p.85
Resurrection ritual,"service, magic",N/A,Home: pay for resurrection attempt (death recovery),N/A (service),Shop purchase at home,Wired via death_recovery + shop,Yes,1000gp,500gp list/2,All (service),—,—,1000gp matches PDF; church/holy symbol alternatives?,EE p.85
Bag of nails,"supply, rest",N/A,Rest: nail doors (4gp nails cost in rest flow),Supply,Rest options,Wired in rest action,Yes,4gp,2gp,All,—,—,4gp vs item price 4gp — confirm consumption,EE p.85
Silvering (light/hand/quiver),service,Silvered suffix on wielded weapon; wraith/lycanthrope interactions,Apply to owned weapon in shop (target_weapon),N/A,Service + inventory suffix,Wired: shop target_weapon + combat restrictions,Yes,20gp,10gp,All,—,—,Fiendish row-3 2-in-6 silver roll,EE p.86
Silvering (two-handed weapon),service,As silvering for 2H,Service on two-handed weapon,N/A,Shop,Wired per-weapon silver suffix,Yes,40gp,20gp,All,—,—,Same as light silvering,EE p.86
Amulet,"magic, jewelry",Varies by item (generic shop row),Generic magic trinket,Supply,Inventory,Buy/sell economy; no specific amulet powers wired,Yes,15gp,7gp list/2,Magic classes,—,—,Distinguish from treasure amulets if any,EE p.86
Talisman,magic,Generic,Generic magic trinket,Supply,Inventory,Economy only,Yes,10gp,5gp list/2,Magic classes,—,—,Same as amulet,EE p.86
